index,name,score,dtm,text,app_name,text_length
9012,Daniel LEE,1 顆星,2022年1月9日,無法更新，重載無法安裝，有辦法解嗎,中國信託行動銀行 Home Bank,17
17075,李恩霈,3 顆星,2023年1月9日,跨行匯款次數每月只有3次，次數過少,永豐行動銀行,17
11925,Mars Mars,1 顆星,2022年11月4日,永遠被閃退，能做點更穩定的系統嗎？,富邦行動銀行,17
2000,jack yao,1 顆星,2022年12月1日,系統忙碌中不能轉帳，沒用過這麼爛的,國泰世華網路銀行CUBE,17
4293,YO -,1 顆星,2024年4月3日,無法開啟APP，顯示APP1031,中國信託行動銀行 Home Bank,17
10705,小建建,1 顆星,2023年7月15日,要求更新，卻一直沒有新app可更新,富邦行動銀行,17
9555,陳逸群,5 顆星,2023年12月5日,使用者操作介面直覺 轉帳功能很不錯,富邦行動銀行,17
1564,Celia Yang,4 顆星,2023年2月2日,之前碰到要排隊登入，現在又沒問題了,國泰世華網路銀行CUBE,17
15875,柯建宏,5 顆星,2022年1月3日,很棒！雖然我是用戶，還在用心學習～,第一銀行 第e行動,17
30868,sj Lin,1 顆星,2023年2月7日,帳戶金額異動不會推播或LINE通知,臺灣銀行-網路銀行隨身版,17
22058,Paul H,3 顆星,2022年8月4日,指紋一直無法登入，一直顯示錯誤-1,合作金庫銀行,17
20612,李貫逢,5 顆星,2022年9月1日,玉山的網銀真的很不錯 比其他家優秀,玉山行動銀行,17
29821,楊士寬,4 顆星,2022年6月20日,請增加刷卡交易限額的設定 避免盜刷,將來銀行 NEXT BANK,17
22007,Urias Chuang (莊士賢),5 顆星,2022年12月1日,APP開發者很優秀，合庫要珍惜人才,合作金庫銀行,17
26386,Chi-fang Chen,1 顆星,2022年1月6日,好幾天都是系統忙碌中，到底是怎樣…,Richart,17
21454,橋橋,5 顆星,2021年12月8日,客服很認真又貼心，可以使用了，謝謝,玉山行動銀行,17
30365,Picard H,1 顆星,2022年12月21日,每次存完定存都要我做app評價很煩,樂天國際商業銀行,17
21050,張辰翰,1 顆星,2022年4月2日,更新後不能登入，一直顯示為綁定成功,玉山行動銀行,17
10445,wendy wen,1 顆星,2023年7月15日,一直跳更新憑證，但都沒出現任何視窗,富邦行動銀行,17
24116,Austin Yen,1 顆星,2022年1月27日,越改越差 不如把錢省下來 砍掉IT,台新銀行行動銀行,17
18430,HM Lee,1 顆星,2023年6月2日,爛透…第一次使用網銀app用到發火,華南銀行+,17
16532,來玩的,1 顆星,2023年10月12日,無法登入無法查詢帳戶 突然無法轉帳,永豐行動銀行,17
3821,澤田月姬,1 顆星,2022年2月8日,為何一直無法登入，請儘快處理！！！,國泰世華網路銀行CUBE,17
28747,木亘,1 顆星,2021年11月21日,找不到改電話號碼的地方 垃圾app,LINE Bank,17
9164,劉美芳,1 顆星,2021年12月27日,一直在跑圈圈根本無法更新，真是爛透,中國信託行動銀行 Home Bank,17
14885,王柏森,1 顆星,2022年3月1日,廣告畫面卡好久，無法使用網銀功能。,元大銀行 Yuanta Commercial Bank,17
30,RONG RONG,1 顆星,2024年3月22日,轉帳常常失敗一定要跑去重新設定密碼,國泰世華網路銀行CUBE,17
11747,虎斑貓,5 顆星,2023年2月1日,不用登入就可以直接查詢存款很方便👍,富邦行動銀行,17
29492,Barry Lin,1 顆星,2023年1月11日,"可以加上""每日利息""的資訊，會更好",將來銀行 NEXT BANK,17
3317,平宗江,5 顆星,2022年4月6日,簡單易懂。操作方便。進出帳提醒快速,國泰世華網路銀行CUBE,17
19403,駱宥翔,5 顆星,2023年12月23日,還不錯，只是有跨行轉帳扣款不太喜歡,玉山行動銀行,17
24481,Hsiu YU,1 顆星,2021年12月13日,爛透了，今天都12/13還是登不進,台新銀行行動銀行,17
27648,小悠,2 顆星,2022年9月22日,信用卡額度查詢服務怎麼暫停查詢了呢,新光銀行,17
16321,周詩倢,4 顆星,2024年1月31日,沒有智慧手紋登入，較麻煩都要背密碼,永豐行動銀行,17
27755,楊阿穎,1 顆星,2022年5月10日,轉帳時一直出現66102系統忙碌中,新光銀行,17
9634,蔡郁婷,1 顆星,2023年11月19日,有沒有人管管，app打開就出現錯誤,富邦行動銀行,17
23703,Hui Chen Chuang,1 顆星,2022年8月1日,為何一定要更新才能登入，希望能改善,台新銀行行動銀行,17
21658,黃鈺媚,1 顆星,2021年10月13日,今天玉山行動銀行更新之後就無法登入,玉山行動銀行,17
21225,林建中,1 顆星,2022年2月23日,超爛的更新版本！進入系統尤如在猜謎,玉山行動銀行,17
8571,Katty Cheng,1 顆星,2022年3月12日,一直無法使用網路銀行我都快崩潰了！,中國信託行動銀行 Home Bank,17
14390,明宸,1 顆星,2022年12月16日,"畫面卡在100%,根本無法登入使用",元大銀行 Yuanta Commercial Bank,17
16777,洪志宏,4 顆星,2023年6月15日,永豐實體帳戶與數位帳戶互轉很方便！,永豐行動銀行,17
12920,gerald cheng,1 顆星,2022年1月16日,為何顯示五分鐘內重複登入，以前不會,富邦行動銀行,17
10207,洪靖捷,1 顆星,2023年7月15日,要求更新又更新不了急著轉帳都不能用,富邦行動銀行,17
11088,Andy Ho,1 顆星,2023年7月14日,一直要更新，按了也沒更新還打不開？,富邦行動銀行,17
28214,Corden Hsu,4 顆星,2022年11月15日,建議加入集保e手掌握的連結銀行陣容,LINE Bank,17
30276,無限法天支那至尊上人,5 顆星,2023年4月21日,轉入、轉出，無限次數才真正是樂天。,樂天國際商業銀行,17
21556,nana Chen,1 顆星,2021年10月31日,OPPO 無法登入……準備換銀行！,玉山行動銀行,17
11954,小夏,1 顆星,2022年10月20日,竟然找無列出超商繳費條碼功能 廢！,富邦行動銀行,17
27955,謝海如,1 顆星,2023年10月31日,為什麼連app登入畫面都轉圈圈……,LINE Bank,17
21661,Welly Huang,5 顆星,2021年10月13日,介面很有設計感，簡單、直觀、好用！,玉山行動銀行,17
20701,拿鐵加微糖,1 顆星,2022年8月9日,不好用，用戶想取回帳密，使用不方便,玉山行動銀行,17
982,林家儀,1 顆星,2023年7月1日,打了半個小時客服完全沒人。是三小。,國泰世華網路銀行CUBE,17
24842,ku cheanchi,1 顆星,2023年12月5日,更新後完全無法使用都停留在黑色畫面,Richart,17
14461,周禹謀,1 顆星,2022年11月7日,爛死了，停在開頭畫面進不去，有夠爛,元大銀行 Yuanta Commercial Bank,17
23949,Elvis,1 顆星,2022年4月1日,"強迫無必要的更新, 不更新不給用。",台新銀行行動銀行,17
24375,EVA KWONG,1 顆星,2022年1月5日,一個銀行九百幾個app，有夠佔空間,台新銀行行動銀行,17
11105,黃冠達,1 顆星,2023年7月14日,叫人更新也更新不了，真的是問題很多,富邦行動銀行,17
28961,cc king,1 顆星,2023年8月15日,花旗轉移不能用 還用個啥要人剪卡嗎,DBS digibank TW 星展行動銀行,17
15009,許祐,1 顆星,2021年12月11日,越更新越爛，打開就卡住，也不能登入,元大銀行 Yuanta Commercial Bank,17
11276,peter Lin,5 顆星,2023年7月4日,功能很棒，查詢的系統也很完善，很推,富邦行動銀行,17
17333,Hao Fu,2 顆星,2022年5月17日,查詢的區間太短只有兩個月，甚為不便,永豐行動銀行,17
23389,Sora,1 顆星,2023年5月4日,登入系統完全無法回應，根本無法使用,台新銀行行動銀行,17
11219,騫,1 顆星,2023年7月14日,超爛超難用 真的不要辦富邦的信用卡,富邦行動銀行,17
296,KC KC,1 顆星,2024年1月17日,說會把資料記著，開個戶一直要我重填,國泰世華網路銀行CUBE,17
16717,BOR wei,1 顆星,2023年7月5日,每次登入都要重新輸入帳號！較為不便,永豐行動銀行,17
31088,童凱鴻,1 顆星,2022年6月14日,軟體壞掉，要重設快速登入很不方便。,臺灣銀行-網路銀行隨身版,17
14192,陳柏志,1 顆星,2023年12月2日,能接受需要更新， 但不要強迫好嗎？,元大銀行 Yuanta Commercial Bank,17
15762,李世宏,1 顆星,2022年1月30日,要e指通的認證碼，一直都沒收到訊息,第一銀行 第e行動,17
3284,山葉歐米亞,1 顆星,2022年4月9日,更新後無法登入 移除後無法重新安裝,國泰世華網路銀行CUBE,17
