index,name,score,dtm,text,app_name,text_length
26172,賴信宏,2 顆星,2022年3月20日,無法更新，也不能用舊的，一直要我更新,Richart,18
25672,廖子勳,1 顆星,2022年12月6日,手機號碼轉帳的問題到現在還是沒有處理,Richart,18
21568,Zeynep Bastık,1 顆星,2021年10月29日,一直閃退 好爛喔 貴公司沒錢維護了啊,玉山行動銀行,18
29787,IN 208,5 顆星,2022年7月5日,還蠻方便的，要優惠碼可以用RPF3F,將來銀行 NEXT BANK,18
30419,曾筠淇,5 顆星,2022年9月27日,真的很大方的直接轉帳給獎金，非常開心,樂天國際商業銀行,18
30674,李依紗,1 顆星,2024年1月8日,網頁一直累格忙線中，要重複登入才行。,臺灣銀行-網路銀行隨身版,18
3795,林麗莉,5 顆星,2022年2月10日,"超方便的APP, 讓我節省許多時間。",國泰世華網路銀行CUBE,18
20478,James Hsu,1 顆星,2022年10月16日,一直佔用10％以上的CPU是搞錯什麼,玉山行動銀行,18
5186,센야셰,1 顆星,2023年8月5日,呼叫垃圾工程師，突然不能用了是怎樣？,中國信託行動銀行 Home Bank,18
29992,SHU MING SYU,5 顆星,2022年4月6日,開戶輸推薦碼【XZXXJ】拿優惠！！,將來銀行 NEXT BANK,18
14745,Mike Lin,1 顆星,2022年6月20日,突然不能登錄 一直跑100% 是怎樣,元大銀行 Yuanta Commercial Bank,18
30316,Wesley衛,3 顆星,2023年3月26日,退出APP怎麼那麼麻煩要一直按返回鍵,樂天國際商業銀行,18
31008,WJ willie (三哥),4 顆星,2022年7月29日,更新後不能用了；已重新安裝可已使用。,臺灣銀行-網路銀行隨身版,18
21885,朱瑞益,5 顆星,2023年6月11日,服務親切良好-很貼心顧客至上的VlP,合作金庫銀行,18
30391,天立,5 顆星,2022年11月27日,滿好用的 請輸入邀請碼 HYALP9,樂天國際商業銀行,18
15437,LIU湧,1 顆星,2022年9月20日,"用APP繳卡費還要扣手續費用,有點爛",第一銀行 第e行動,18
26543,林彥富,1 顆星,2021年11月22日,已經幾個禮拜開不了程式了，加油好嗎？,Richart,18
3685,Kevin Hsu,5 顆星,2022年2月27日,方便，好用，真的不需要帶實體卡出門了,國泰世華網路銀行CUBE,18
28963,Eric Liu,1 顆星,2023年8月15日,原花旗用戶申請新帳戶一直失敗，爛爆。,DBS digibank TW 星展行動銀行,18
25310,劉明泓,1 顆星,2023年8月4日,相機權限已經允許了，還是無法上傳照片,Richart,18
