index,name,score,dtm,text,app_name,text_length
18225,孫翊翔,5 顆星,2023年12月30日,版面簡易明聊，,華南銀行+,7
8726,Rain Jeng,5 顆星,2022年2月18日,方便快速又安全,中國信託行動銀行 Home Bank,7
12107,Huh-pyng Chu,5 顆星,2022年8月10日,簡單易操作,富邦行動銀行,5
5484,古倫維,5 顆星,2023年5月23日,方便訊速,中國信託行動銀行 Home Bank,4
9413,陳文峰,5 顆星,2024年1月23日,使用方便,富邦行動銀行,4
12097,鄭大哥,5 顆星,2022年8月12日,方便又好用,富邦行動銀行,5
6229,李湘琪,5 顆星,2022年11月15日,很方便,中國信託行動銀行 Home Bank,3
25830,Lupin Boris,5 顆星,2022年8月29日,方便好用,Richart,4
11586,Wang Evan,5 顆星,2023年4月6日,介面簡潔,富邦行動銀行,4
26163,Ellen Deng,2 顆星,2022年3月21日,一直無法更新,Richart,6
17764,葉博志,5 顆星,2021年7月15日,方便好用,永豐行動銀行,4
3384,陳姿玲,5 顆星,2022年4月5日,Ok,國泰世華網路銀行CUBE,2
6611,L H,5 顆星,2022年9月5日,使用直接又方便,中國信託行動銀行 Home Bank,7
26831,Tasy Fan,5 顆星,2023年11月26日,新app好用,新光銀行,6
16568,黃啟洋,5 顆星,2023年9月27日,好,永豐行動銀行,1
7430,n Edwi,5 顆星,2022年4月23日,好用,中國信託行動銀行 Home Bank,2
29211,y chen,1 顆星,2021年5月14日,成日跳出晝面,DBS digibank TW 星展行動銀行,6
11449,林德祺,5 顆星,2023年5月11日,蠻好用的,富邦行動銀行,4
28777,Er Huang,1 顆星,2024年3月14日,最近一直閃退,DBS digibank TW 星展行動銀行,6
17529,楊錦玲,5 顆星,2021年12月2日,讚！,永豐行動銀行,2
22193,吳智珺,5 顆星,2022年3月14日,好用,合作金庫銀行,2
4339,李聖權,5 顆星,2024年3月23日,方便，中獎率高,中國信託行動銀行 Home Bank,7
16651,洪麗雪,5 顆星,2023年8月7日,讚,永豐行動銀行,1
5135,詹鳳娥,5 顆星,2023年8月21日,Good,中國信託行動銀行 Home Bank,4
2548,王凱弘,5 顆星,2022年8月21日,good,國泰世華網路銀行CUBE,4
5674,Simon Liao,5 顆星,2023年4月5日,讚,中國信託行動銀行 Home Bank,1
17693,劉士瑋,5 顆星,2021年9月4日,讚喔～,永豐行動銀行,3
6484,Victor Hsu,5 顆星,2022年9月26日,方便,中國信託行動銀行 Home Bank,2
17078,黃秉誠,5 顆星,2023年1月8日,方便安全,永豐行動銀行,4
5834,許芳華,5 顆星,2023年2月17日,不錯使用,中國信託行動銀行 Home Bank,4
26075,黃淑莉,5 顆星,2022年4月6日,快速 便利,Richart,5
18019,動點創意廣告林慶南,5 顆星,2024年1月25日,讚,華南銀行+,1
26838,jason wang,5 顆星,2023年11月26日,好用,新光銀行,2
12215,天生色狼,4 顆星,2022年7月18日,長期使用無問題,富邦行動銀行,7
19093,孫建容,5 顆星,2024年3月26日,真棒！,玉山行動銀行,3
2549,張志輝,5 顆星,2022年8月20日,很棒,國泰世華網路銀行CUBE,2
24679,義雄,5 顆星,2024年2月4日,棒,Richart,1
7866,李婕怡,5 顆星,2022年3月22日,很方便，安心,中國信託行動銀行 Home Bank,6
19112,楊琳,5 顆星,2024年3月21日,方便快速上手！,玉山行動銀行,7
12693,楊凱恩,1 顆星,2022年3月14日,進不去，壞掉了,富邦行動銀行,7
7504,suyu yen,2 顆星,2022年4月15日,都無登入，爛。,中國信託行動銀行 Home Bank,7
28275,KEN HSU,5 顆星,2022年8月31日,有用心👍,LINE Bank,4
11715,林佩宜,5 顆星,2023年2月15日,讚。,富邦行動銀行,2
26953,palm james,5 顆星,2023年11月25日,Ok見面好用,新光銀行,6
14292,李小恒,1 顆星,2023年3月31日,更新完後不能開,元大銀行 Yuanta Commercial Bank,7
27418,陳武全,4 顆星,2023年8月10日,好的,新光銀行,2
4160,陳柏偉,3 顆星,2021年12月29日,˙˙˙˙,國泰世華網路銀行CUBE,4
31108,盧政陽,2 顆星,2022年6月6日,介面混亂,臺灣銀行-網路銀行隨身版,4
20180,黃阿柔柔,5 顆星,2023年6月1日,good,玉山行動銀行,4
4761,惠惠,1 顆星,2023年11月25日,手續費15太高,中國信託行動銀行 Home Bank,7
8251,楊涼,2 顆星,2022年3月12日,因多會忘記密碼,中國信託行動銀行 Home Bank,7
25707,Mu Fei Hong,5 顆星,2022年11月17日,功能很多,Richart,4
24267,張名琥,5 顆星,2022年1月12日,讚,台新銀行行動銀行,1
6018,廖宇民,5 顆星,2023年1月1日,超級便利,中國信託行動銀行 Home Bank,4
18069,亦賢,5 顆星,2024年1月15日,不錯,華南銀行+,2
